"oid","aid","head","cont"
"055","0000804750","[단독] 제멋대로 예산 집행…서울시 야구협회 적발","        if (deployPhase === ""local"" || deployPhase === ""dev"") { nhn.rmcnmv.BUILD_PHASE = 'dev'; } var videoId = '7E8A8940207CE5867D7D7933CF3FC8C58A5F'; var rmcPlayer_7E8A8940207CE5867D7D7933CF3FC8C58A5F = new nhn.rmcnmv.RMCVideoPlayer('7E8A8940207CE5867D7D7933CF3FC8C58A5F','V1285dd46d6f2ce40d2ee8fefa137768e390fb51789cd9a5b8326fc53c5ded8e059108fefa137768e390f','0', '0', '2006', nhn.rmcnmv.RMCVideoPlayer.type.AUTO); rmcPlayer_7E8A8940207CE5867D7D7933CF3FC8C58A5F.properties.autoPlay=""true""; rmcPlayer_7E8A8940207CE5867D7D7933CF3FC8C58A5F.properties.coverImageURL=""http://imgnews.naver.net/image/055/2020/03/31/cover_0000804750_001_20200331211908003.jpg""; rmcPlayer_7E8A8940207CE5867D7D7933CF3FC8C58A5F.properties.skinName=""tvcast_white""; rmcPlayer_7E8A8940207CE5867D7D7933CF3FC8C58A5F.properties.hasRelativeMovie=""true""; rmcPlayer_7E8A8940207CE5867D7D7933CF3FC8C58A5F.properties.controlBarMovable = ""true""; rmcPlayer_7E8A8940207CE5867D7D7933CF3FC8C58A5F.properties.wmode = ""transparent""; rmcPlayer_7E8A8940207CE5867D7D7933CF3FC8C58A5F.displayRMCPlayer();        앵커서울시 야구소프트볼협회의 부적절한 예산 집행이 서울시 체육회 감사에서 무더기로 적발됐습니다. 특정 인사가 제멋대로 돈을 주물렀다는 의혹을 받고 있습니다.유병민 기자의 단독 보도입니다.기자지난해 실시한 서울시 체육회의 서울시 야구소프트볼협회 감사 결과 보고서입니다.각종 예산집행 및 회계처리 부적정, 서울시 보조금 집행 및 관리 부적정, 임직원 상여금 및 성과급 지급 부적정 등 적발된 내용이 16건인데 협회 운영을 총괄하는 나 모 씨 관련 지적 사례가 10건에 달합니다.나 씨는 이사회 승인 없이 4차례나 상여금을 받아가면서 세금도 내지 않았고 근거 규정이 없는 자녀 학자금을 수령하는가 하면 자신의 개인 차량을 협회 업무용 차량 명목으로 사용하며 보험료와 수리비, 범칙금까지 협회 예산으로 낸 것으로 드러났습니다.증빙 서류가 불명확한 경우도 여러 건 적발됐습니다.서울시 체육회는 서울시 야구협회장에게 나 씨의 징계를 요청했는데 어찌 된 일인지 오히려 협회장이 최근 자진사퇴를 했습니다.회장이 없는 가운데 야구협회 운영은 여전히 나 씨가 주도하고 있습니다.나 씨는 감사 결과에 대해 &quot;협회 자금 처리는 내부 절차에 따라 상식적인 범위에서 진행했으며 지금은 미비한 규정을 재정비했다&quot;고 해명했습니다.서울시 체육회는 서울시 야구협회의 조치 결과를 면밀히 살핀 뒤 위법사항에 대해선 법적 절차를 밟겠다고 밝혔습니다.&#40;영상취재 : 김균종&middot;김흥기, 영상편집 : 남 일&#41;&nbsp;유병민 기자(yuballs@sbs.co.kr)▶ 'n번방 · 박사방' 성착취 사건 파문▶ 코로나19 속보 한눈에 보기▶ VOTE KOREA 2020 온라인 갤러리※ ⓒ SBS & SBS Digital News Lab. : 무단복제 및 재배포 금지     기사제공 SBS       "
"410","0000680994","손혁 감독 “선수단 자율 훈련 부여, 외국인 선수 여유 생겨” [현장인터뷰]","   매경닷컴 MK스포츠(서울 고척) 김성범 기자결국 신종 코로나바이러스 감염증(코로나19) 우려 탓에 연습경기, 개막은 또다시 연기됐다. 그래도 키움 히어로즈 손혁(47) 감독은 긍정적으로 상황을 바라보려 했다.키움은 31일 서울 고척스카이돔에서 자체 청백전을 펼쳤다. 경기에 앞서 한국야구위원회(KBO)는 구단 간 연습경기를 2주 뒤로 미루고(4월21일), 개막을 4월 말~5월 초로 미루기로 결정했다. 맥이 빠질만한 소식이었지만 선수단은 10이닝 경기를 높은 집중력으로 마무리했다. 원정팀의 6-5 승리로 끝났다.손혁 감독은 “사전에 10이닝 경기를 한다고 알렸는데 생각보다 시간이 오래 걸리지 않았다. 집중력 있게 잘했다”라고 총평하면서 “자율 훈련을 계획하고 있다. 머릿 속도 비우고 했으면 한다. 충전이라고 하긴 뭐하지만 아무래도 7일(연습경기 시작일)에 맞춰 집중력을 끌어올린 것이 풀어질 수 있다”라고 계획을 밝혔다. 키움 히어로즈 손혁 감독이 개막 연기에 외국인 선수들이 준비할 여유가 생겼다고 답했다. 사진(고척)=김재현 기자 그래도 개막이 미뤄지면서 외국인 선수는 준비할 시간이 늘어났다. 키움 외국인 선수 제이크 브리검, 테일러 모터, 에릭 요키시는 26일 국내에 입국했지만 KBO의 2주 자가격리 조치를 수행하고 있는 중이다. 손혁 감독은 “쫓기는 마음은 좀 덜할 것 같다. 본인들도 쉬면서 여유 있게 준비할 수 있을 것 같다”라고 바라봤다.그래도 21일 연습경기 투입은 신중을 기했다. 완전한 상태에서 돌아오는 것이 먼저였다.“조금 더 미뤄졌으니 상황을 볼 것이다”라고 운을 뗀 손 감독은 “4월10일부터 합류할 수 있다. 서두르면 21일 연습경기때 투수들은 1~2이닝 가능하겠지만 상황을 먼저 지켜보려 한다. 모터는 타석에는 들어설 수 있을 것 같다. 그래도 잘못했다간 더 늦춰질 수 있으니 한발 늦더라도 천천히 다가가겠다”라고 말했다. mungbean2@maekyung.com▶ 아이돌 B컷 사진 모음전▶ 클릭 핫! 뉴스[ⓒ MK스포츠, 무단전재 및 재배포 금지]     기사제공 MK스포츠       현장에서 작성된 기사입니다.   "
"032","0003001093","“타석 서는 것만도 행복한데” …뇌종양 이긴 ‘부활의 홈런포’","   ㆍ롯데 김상호, 2년 투병 딛고 ‘새로 쓰는 희망가’ㆍ연습경기 2군 대타로 투런홈런…재작년 동료들 ‘등번호 격려’ 화답ㆍ1년 더 약물 치료·재활 남았지만 ‘즐기는 야구’ 성공스토리 약속롯데 김상호가 30일 부산 사직구장에서 열린 1·2군 교류전에서 6회 역전 투런홈런을 치고 있다.   롯데 자이언츠 제공지난 30일 부산 사직구장에서 열린 1·2군 연습경기. 2군이 1-2로 추격하던 6회초 2군 대타로 나온 선수가 1군 선발 서준원을 상대로 좌측 담장을 넘어가는 투런홈런을 터뜨렸다.야구에서 흔히 나오는 한 방이 아니었다. 홈런을 때린 김상호(31)는 베이스를 돌아 홈으로 돌아오며 새로 피어나는 희망과 의지로 가슴을 채웠다.김상호는 2018년 5월 말 큰 벽을 만났다. 퓨처스리그에서 경기를 뛰던 김상호는 갑작스러운 경련 증세 끝에 병원 검진을 받았다. 6월 초 최종 진단을 받은 결과 뇌에 3㎝ 정도의 종양이 생겨 수술이 필요하다는 판정을 받았다. 그나마 다행인 것은 종양 부위가 운동적 기능에 크게 영향을 주지 않는 곳이라는 점이었다.김상호는 구단을 통해 “내가 빨리 나아서 그라운드에서 좋은 모습을 보여주는 것만 남았다”고 씩씩하게 말한 뒤 그해 7월 수술을 받았고 재활 과정에 들어갔다. 롯데 선수들은 2018시즌 김상호의 등번호인 66번을 모자에 새기고 경기에 뛰었다.김상호는 자신이 한 약속을 지켰다. 지난해 6월 말 팀에 복귀해 본격적인 훈련을 시작했다. 2019시즌을 마치고는 다음 시즌을 위해 마무리 캠프에도 참가했다.장충고-고려대를 졸업한 뒤 2012년 롯데에 입단한 김상호는 2016년 한 시즌 최다인 114경기 타율 0.290 7홈런을 기록한 ‘한 방’이 있는 타자다. 1루수로 지난 시즌 롯데가 필요했던 대타 자원이기도 하다. 김상호는 아직 큰 욕심은 내지 않고 있다. 그는 “홈런은 얼떨떨하다. 지금은 그냥 한 타석 나가는 것 자체만으로도 좋다”고 말했다.아직까지 김상호는 약을 먹으면서 야구를 하고 있다. 김상호는 “항암 치료는 끝났지만 간에서 항암약을 해독하지 못해 피로도가 높다. 간 수치를 한 달에 한 번 검사를 하고 있는데 수치가 높게 나온다. 1년 동안 약을 먹어야 한다”고 했다. 김상호는 또 “래리 서튼 퓨처스 감독님과 코치님들이 따로 일정을 관리해줘서 감사한 마음뿐”이라고 했다.프로야구에는 병마를 딛고 성공 스토리를 써낸 선수들이 여럿 있다. NC 원종현을 비롯해 정현욱 삼성 코치, 정현석 한화 코치 등이 선수로 뛰며 암을 이겨내고 다시 그라운드에 선 사례들이다. 김상호는 정현석 코치로부터는 “스트레스 받지 말고 야구를 즐기면서 하라”는 조언을 듣기도 했다. 김상호는 “잘 맞으면 좋고 그렇지 않으면 속상하겠지만 스트레스 안 받고 즐겁게 야구하고 싶다”고 바람을 표했다.김하진 기자 hjkim@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기&#169;경향신문(www.khan.co.kr), 무단전재 및 재배포 금지     기사제공 경향신문       "
"032","0003001092","프로야구 시즌 개막 5월 이후로…무관중 연습경기도 연기","   ㆍ10개 구단 단장 실행위서 논의ㆍ오는 7일 KBO 이사회서 확정2020시즌 KBO리그 개막이 사실상 5월로 연기됐다. 4월7일부터 추진하려던 무관중 연습경기도 21일 이후로 미뤄졌다. 사실상 시범경기 역할을 하는 연습경기의 최소 필요 경기 수 등을 고려하면 4월 내 개막은 어렵다.KBO는 31일 리그 10개 구단 단장들이 참가하는 실행위원회를 열고 코로나19 사태에 따른 리그 일정 조정 등에 대해 논의했다. 앞서 열린 긴급이사회에서 4월7일 이후 무관중 연습경기 개시, 4월20일 이후 시즌 개막에 합의했지만 이 일정이 뒤로 늦춰졌다.코로나19 사태가 빠르게 진정되지 않고 있다는 점, 학교 개학이 당초 4월6일에서 9일 또는 20일 이후, 그것도 온라인개학으로 이뤄진다는 점 등이 고려됐다. 학교가 정상적으로 운영되지 않는 가운데 여러 명의 이동이 필요한 연습경기가 쉽지 않다는 판단이다. 초등학교 저학년의 온라인개학이 20일이라는 점에서 일단 이날 이후에 연습경기를 하는 것으로 잠정 결정했다. 21일 이후 연습경기가 이뤄지면, 개막은 이후 2주 정도 더 걸린다. 이사회에서도 연습경기 시작 2주일 뒤 개막을 목표로 했다. 선발투수들이 실전을 통해 투구 컨디션을 끌어올리는 적정 기간이다. 21일 이후 연습경기가 시작되고 2주 뒤 개막이라면 5월5일 어린이날이 2020시즌 개막 가능 시점이다. 어린이날 개막시리즈가 현실화될 가능성이 높다. 앞서 논란이 됐던 키움, LG, NC, KT, 한화 등 5개 구단 외인 선수들의 2주 자가격리는 해당 구단들이 받아들이기로 했다. 이들은 정부의 규제 시점보다 이전에 입국했지만 예방 차원에서 자가격리가 권고됐다. 실행위원회는 의결기구가 아니기 때문에 이 같은 내용은 오는 7일 열리는 KBO 이사회에서 결정된다. 이날 실행위원회에서는 리그 축소 일정에 대한 검토도 이뤄졌다. 개막이 더 밀리면 일정 축소가 불가피한 상황이다. 팀당 9경기가 줄어드는 135경기 안에서 많게는 36경기가 줄어드는 108경기 안도 논의됐다.이용균 기자 noda@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기&#169;경향신문(www.khan.co.kr), 무단전재 및 재배포 금지     기사제공 경향신문       "
"468","0000643097","롯데, '1군-퓨처스 교류전'에서 얻은 진짜 소득은?","   롯데 자이언츠 선수단. 사진 | 강영조기자kanjo@sportsseoul.com[스포츠서울 이지은기자] 1군-퓨처스 교류전의 성과는 숫자에 있지 않다.신종 코로나바이러스 감염증(코로나19) 여파로 전 구단이 3월 일정을 청백전으로 소화했다. 1군 엔트리에 오른 선수들 안에서 팀을 갈라 실전을 치르는 방식이다. 롯데 역시 지난 24일부터 총 4차례 자체 맞대결을 했다. 그중 가장 최근이었던 지난달 30일경기는 1군-퓨처스 교류전으로 치러졌다. 이런 종류의 대결은 으레 퓨처스팀에 동기부여를 주는 차원에서 진행돼 1군의 낙승으로 끝나곤 했다. 그러나 이날 롯데 퓨처스팀은 1군을 9-5로 눌렀다. 허문회 감독은 “여러 생각 속에 지켜본 경기”라고 짧게 갈음했다. 그러나 이 한 문장 안에는 초보 사령탑의 복합적인 심경이 녹아있다. 이날 경기는 손아섭, 민병헌, 전준우, 이대호 등 간판 타자들이 라인업에서 빠져 있었다. 본격 손발을 맞춰야 하는 키스톤 콤비 안치홍과 딕슨 마차도, 새 주전포수 지성준 정도를 제외하곤 대부분 젊은 나이의 저연차 자원들이었다. 주전과 백업의 전력 차를 메워야 하는 향후 과제를 다시 확인한 셈이다. 허 감독은 이날 마지막 투수로 나선 김건국이 확연히 흔들리는데도 강판하지 않고 2이닝을 끝까지 맡겼다. ‘선발’로 키우겠다는 의지를 천명한 기용이었다.교류전 해설자로 마이크를 잡은 성민규 단장은 “오히려 1군 선수들에게도 자극제가 됐을 것”이라고 바라봤다. 이제 코로나19로 리그 일정이 미궁에 빠진지도 거의 한 달째다. 모든 구단들이 다소 처져버린 선수단 분위기를 고민할 수밖에 없는 시점이다. 특히 롯데는 올해 스프링캠프도 호주 애들레이드에서 홀로 치렀다. 국내 확산세가 심해지며 예상보다 긴 외지 생활을 했고, 한국으로 돌아온 후에도 사이클은 크게 달라지지 않고 있다. 자체 청백전으로 더는 긴장감을 조성할 수 없는 환경이다.퓨처스팀은 이날을 기다려왔다. 허 감독 앞에서 겨우내 상동구장에서 담금질 한 결과를 보여줄 수 있는 무대였기 때문이다. 이날 퓨처스팀은 4회 선취점을 내고 5회 역전을 허용한 후 6회 다시 뒤집으며 저력을 보여줬다. 수비, 주루 등 기본적인 플레이에서 최선 다하는 모습에 1군 코치진도 박수를 보냈다는 후문이다.  number23togo@sportsseoul.com[기사제보 news@sportsseoul.com]  Copyright ⓒ 스포츠서울&sportsseoul.com     기사제공 스포츠서울       "
"109","0004186537","손혁 감독 “연습경기 21일 연기 아쉽다, 외국인선수는 부담 덜 것” [고척 톡톡]","     [OSEN=고척, 민경훈 기자]경기를 마치고 키움 손혁 감독이 인터뷰를 위해 마스크를 쓰고 취재진에게 다가오고 있다./ rumi@osen.co.kr[OSEN=고척돔, 길준영 기자] 키움 히어로즈 손혁 감독이 팀간 연습경기가 연기된 것아 아쉬운 마음을 드러냈다.KBO는 31일 실행위원회를 열고 &ldquo;4월 7일부터 허용하기로 했던 팀간 연습경기 일정을 4월 21일로 연기하기로 결정했다. 시즌 개막도 이에 맞춰 4월말에서 5월초로 변경한다&rdquo;고 발표했다.손혁 감독은 31일 서울 고척스카이돔에서 진행한 청백전 이후 인터뷰에서 &ldquo;연습경기를 기대했는데 연기가 되서 아쉽다. 내일은 자율훈련을 하면서 다들 생각을 정리하는 시간을 가질 예정이다. 아무래도 4월 7일부터 연습경기를 예상하고 컨디션을 끌어올리다가 풀어지면 부상 위험도 있다. 다들 마음을 잘 추스렸으면 좋겠다&rdquo;면서 아쉬워했다.다만 지난 26일부터 2주간 자가격리 조치에 들어간 외국인선수들은 시즌을 준비할 수 있는 시간을 벌었다. 손혁 감독은 &ldquo;외국인선수들의 부담은 조금 줄었다. 2주 자가격리 때문에 쫓기는 마음이 있었을텐데 이제는 조금 더 여유있게 준비할 수 있을 것&rdquo;이라고 말했다.선발투수 브리검과 요키시는 시즌 개막에 아슬아슬하게 맞출 수 있을 전망이다. 손혁 감독은 &ldquo;만약 시즌이 5월초에 개막한다면 두 투수가 5이닝은 던질 몸상태가 될 것 같다. 일단 팀에 합류해서 공을 던지는걸 봐야 정확히 알 수 있다. 21일로 연기된 연습경기에도 등판은 할 수 있을 것 같지만 상황을 보면서 천천히 준비시키려고 한다&rdquo;고 설명했다.이어서 &ldquo;모터는 연습경기부터 타석에 들어설 수 있을 것&rdquo;이라고 덧붙였다.이날 키움은 청백전을 10이닝 경기로 진행했다. 손혁 감독은 &ldquo;10이닝이 길기는 하지만 투수가 한두면 남는데 그 투수만 빼고 던지면 안될 것 같았다. 시간이 생각보다 오래 걸리지는 않았고 선수들 모두 집중력 있게 잘 해줬다&rdquo;고 경기 소감을 전했다.오랜만에 실전 경기에 출전한 서건창은 경기 도중 라인업에서 빠져 휴식을 취했다. 손혁 감독은 &ldquo;오랜만에 실전경기라 경기 전부터 3~4이닝만 소화하고 경기에서 뺄 생각이었다. 아직 100% 컨디션은 아니다. 선수 본인은 더 뛰고 싶어했지만 타격코치가 잘 다독였다&rdquo;고 말했다. /fpdlsl72556@osen.co.kr&nbsp;     기사제공 OSEN      현장에서 작성된 기사입니다.   "
"214","0001027340","[스포츠 영상] 두산 청백전 호수비","        if (deployPhase === ""local"" || deployPhase === ""dev"") { nhn.rmcnmv.BUILD_PHASE = 'dev'; } var videoId = '13A3BFEBDF7BA9C82C7D84E49B65315D787C'; var rmcPlayer_13A3BFEBDF7BA9C82C7D84E49B65315D787C = new nhn.rmcnmv.RMCVideoPlayer('13A3BFEBDF7BA9C82C7D84E49B65315D787C','V126c7c00c26d2022b77ce35f4235264c9d7804681bdf78c67e04735114f530cb111de35f4235264c9d78','0', '0', '2006', nhn.rmcnmv.RMCVideoPlayer.type.AUTO); rmcPlayer_13A3BFEBDF7BA9C82C7D84E49B65315D787C.properties.autoPlay=""true""; rmcPlayer_13A3BFEBDF7BA9C82C7D84E49B65315D787C.properties.coverImageURL=""http://imgnews.naver.net/image/214/2020/03/31/cover_cover_desk_20200331_204615_1_30_Large_20200331205029615.jpg""; rmcPlayer_13A3BFEBDF7BA9C82C7D84E49B65315D787C.properties.skinName=""tvcast_white""; rmcPlayer_13A3BFEBDF7BA9C82C7D84E49B65315D787C.properties.hasRelativeMovie=""true""; rmcPlayer_13A3BFEBDF7BA9C82C7D84E49B65315D787C.properties.controlBarMovable = ""true""; rmcPlayer_13A3BFEBDF7BA9C82C7D84E49B65315D787C.properties.wmode = ""transparent""; rmcPlayer_13A3BFEBDF7BA9C82C7D84E49B65315D787C.displayRMCPlayer();        [뉴스데스크]프로야구 두산 청백전에서 나온 박건우 선수의 호수비 장면, 끝으로 준비했습니다.화요일 밤 스포츠뉴스였습니다.전훈칠 기자 (thateye7@imbc.com)[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ MBC 14층 사람들이 만든 뉴스 ""14F""Copyright(c) Since 1996, MBC&iMBC All rights reserved.     기사제공 MBC       "
"214","0001027337","KBO 일정 또 연기 '시즌 단축'도 검토","        if (deployPhase === ""local"" || deployPhase === ""dev"") { nhn.rmcnmv.BUILD_PHASE = 'dev'; } var videoId = 'C8488D00D0886747430A79B67B5DC1172B8D'; var rmcPlayer_C8488D00D0886747430A79B67B5DC1172B8D = new nhn.rmcnmv.RMCVideoPlayer('C8488D00D0886747430A79B67B5DC1172B8D','V12142d8b087dd94b89d5008674827a8acba155eb3abb8a2b4aac26f48129b6b6c6ee008674827a8acba1','0', '0', '2006', nhn.rmcnmv.RMCVideoPlayer.type.AUTO); rmcPlayer_C8488D00D0886747430A79B67B5DC1172B8D.properties.autoPlay=""true""; rmcPlayer_C8488D00D0886747430A79B67B5DC1172B8D.properties.coverImageURL=""http://imgnews.naver.net/image/214/2020/03/31/cover_cover_desk_20200331_204306_1_27_Large_20200331204614072.jpg""; rmcPlayer_C8488D00D0886747430A79B67B5DC1172B8D.properties.skinName=""tvcast_white""; rmcPlayer_C8488D00D0886747430A79B67B5DC1172B8D.properties.hasRelativeMovie=""true""; rmcPlayer_C8488D00D0886747430A79B67B5DC1172B8D.properties.controlBarMovable = ""true""; rmcPlayer_C8488D00D0886747430A79B67B5DC1172B8D.properties.wmode = ""transparent""; rmcPlayer_C8488D00D0886747430A79B67B5DC1172B8D.displayRMCPlayer();        [뉴스데스크]◀ 앵커 ▶화요일 밤 스포츠 뉴스입니다.계속되는 코로나19 여파로 프로야구 개막이 4월 말 이후로 또 연기됐습니다.◀ 리포트 ▶10개 구단 단장들이 모인 긴급 실행위원회에서 KBO는 다음 달 7일 시작하려던 팀 간 연습경기를 2주 더 미뤄 4월 21일부터 치르기로 했습니다.초중고교가 사상 최초로 온라인 개학을 하는 등 사회적 분위기를 감안한 조치에요.자연스럽게 시즌 개막도 4월 말이나 5월 초로 또 연기됐습니다.개막이 더 늦춰질 경우 시즌 단축도 고려하고 있는데요.5월 개막을 가정해 정규리그 144경기를 108경기까지 줄이는 방안도 검토 중입니다.선수들과 팬들의 기다림도 더 길어졌네요.[이영하/두산]""무관중으로 게임(청백전)을 하다보면 확실히 몸에서 나오는 아드레날린 이런게 있잖아요. 그런게 좀 부족하기 때문에 확실히 제 컨디션으로 던지긴 힘들죠.""정준희 기자 (rosinante@imbc.com)[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ MBC 14층 사람들이 만든 뉴스 ""14F""Copyright(c) Since 1996, MBC&iMBC All rights reserved.     기사제공 MBC       "
"311","0001129669","'이민우 4이닝 무실점' KIA 백팀, 홍팀 3-0 압도","   [엑스포츠뉴스 김현세 기자] KIA 타이거즈가 실전 점검을 거쳤다.KIA는 31일 광주-기아 챔피언스 필드에서 자체 홍백전을 치렀다. 홍팀 선발 투수 드류 가뇽, 백팀 이민우가 붙었다. 경기는 9회까지 치렀고, 백팀이 3-0으로 이겼다.홍팀은 홍종표(2루수)-김규성(유격수)-문선재(좌익수)-황대인(1루수)-김연준(우익수)-한준수(지명타자)-고장혁(3루수)-김민식(포수)-유재신(중견수) 순으로 나섰다.백팀은 박찬호(유격수)-김선빈(2루수)-프레스턴 터커(우익수)-나지완(좌익수)-유민상(1루수)-장영석(3루수)-이정훈(지명타자)-한승택(포수)-최원준(중견수) 순이다.백팀 선발 투수 이민우는 4이닝 동안 공 52개 던져 3피안타 4탈삼진 1볼넷 무실점으로 잘 던졌다. 백팀은 이민우 다음으로 박진태(2이닝)-정해영(1이닝)-황인준(1이닝)-박동민(1이닝)이 무실점 호조를 이었다.백팀은 4회 말 이정훈의 2점 홈런으로 기선을 잡았다. 선발 투수 가뇽은 2이닝 무실점을 기록했으나, 홍건희가 2이닝 2실점으로 패전 투수가 됐다. 그러고 김현준(1⅔이닝 무실점)-변시원(1⅓이닝 무실점)-양승철(1이닝 무실점)으로 던지고 나서 박준표가 9회 말 1이닝 1실점(비자책)을 기록했다.kkachi@xportsnews.com / 사진=KIA 타이거즈▶ 요즘 핫한 아이돌 공항 직캠 보러가기 ▶ 고화질 영상으로 만나는 나의 스타 - ⓒ엑스포츠뉴스, 무단 전재 및 재배포 금지     기사제공 엑스포츠뉴스       "
"076","0003549079","[SC이슈추적]무관중 경기X경기수 축소X올스타전 취소, 삼중고 빠진 KBO 144G 마지노선은 '5월초'","   KBO리그 각 구단 단장들의 모임인 실행위원회가 31일 도곡동 야구회관에서 열렸다. 이날 회의에서 2020시즌 개막일정과 연습경기 진행 여부에 대해 논의가 이루어질 예정이다.  KBO는 지난 24일 긴급 이사회를 열고 4월7일부터 구단 간 연습경기를 진행하고 내달 20일 이후 정규시즌을 개막하기로 결정한바 있다.도곡동=최문영 기자  deer@sportschosun.com /2020.03.31/[야구회관=스포츠조선 김진회 기자] 코로나19 확산이 좀처럼 수그러들지 않으면서 한국야구위원회(KBO)가 삼중고에 빠졌다.KBO는 31일 서울 도곡동 야구회관에서 10개 구단 단장들이 모두 참석한 가운데 제4차 긴급 실행위원회를 열었다.이날 류대환 KBO 사무총장을 비롯해 구단 단장들은 코로나19의 지역사회 감염 우려로 학교 개학일이 조정되는 등 전반적인 사회 분위기가 진정되지 않았다는데 공감했다. 결국 야구 팬의 갈증을 해소하기 위해 4월 7일부터 허용하려 했던 구단간 연습경기를 2주 뒤인 21일로 연기했고, 정규시즌 개막 예정일도 4월 20일 이후에서 4월 말 또는 5월 초로 변경했다.KBO는 이후 상황을 지켜본 뒤 7일 다시 실행위를 열어 연습경기 일정 등 관련 내용에 대해 또 논의할 예정이다.KBO는 코로나19 여파로 개막이 계속 밀리면서 정규시즌 운영에도 고민이 커졌다. 2020년 도쿄올림픽이 1년 연기되면서 올림픽 브레이크가 없어져 18일이란 시간을 벌었지만, 개막이 또 연기되면서 일정은 촉박해졌다.KBO는 정규시즌이 어렵사리 개막된다해도 초반에는 '무관중 경기'를 염두에 두고 있다. 류 사무총장은 이날 브리핑에서 ""코로나19 확진자 수가 많이 줄어야할 것 같고, 개학이 잣대이기 때문에 함께 고려해서 판단할 것""이라며 ""개막을 해도 무관중 경기 가능성을 열어놓고 있다""고 밝혔다. 이어 ""4월 말 또는 5월 초에 개막할 때 무관중으로 하고 어느 정도 시간이 지나면 순차적으로 관중석을 개방하는 안을 검토하고 있다""고 덧붙였다. 또 ""사회적 분위기가 조성돼야 관중이 입장할 수 있다. 여의치 않으면 무관중 경기를 좀더 이어갈 수 밖에 없는 상황""이라고 말했다.KBO리그 각 구단 단장들의 모임인 실행위원회가 31일 도곡동 야구회관에서 열렸다. 이날 회의에서 2020시즌 개막일정과 연습경기 진행 여부에 대해 논의가 이루어질 예정이다. 삼성 홍준학 단장과 LG 차명석 단장이 발언을 하고 있다.도곡동=최문영 기자  deer@sportschosun.com /2020.03.31/KBO는 경기수 단축에 대해서도 전향적이다. 앞선 실행위에선 팀당 144경기 체제 고수 분위기였다. 하지만 개막일이 계속 밀리면서 일정 축소에 대한 미련을 버렸다. 유연하게 대처하겠다는 것이 각 구단의 입장이다. 개막 시기를 5월 이후로 상정하고 기존 팀당 144경기에서 135경기, 최대 108경기로 줄이는 것이 골자다. 135경기 변경안은 5월 5일 개막해 팀 간 15차전을 치른 뒤 11월 10일까지 포스트시즌을 마무리하는 방안이다. 108경기 변경안은 5월 29일 개막해 포스트시즌을 11월 내에 끝낸다는 시나리오다.이에 대해 류 사무총장은 ""리그 일정 축소는 계속 얘기해됐던 부분이다. 준비는 하고 있다. 5월 초가 144경기를 채울 수 있는 마지노선""이라고 설명했다. 더불어 ""올림픽 연기로 11월 말까지는 경기를 할수 있을 것 같다. 시뮬레이션도 하고 대응 방안을 준비중""이라고 전했다. 그러면서 ""포스트시즌을 치르지 않는 것은 고려하지 않고 있다. 다만 축소하는 시나리오는 있다""고 했다.개막 연기는 올스타전 개최에도 영향을 준다. 올해 올림픽 휴식기가 사라지면서 올스타전 개최 날짜도 함께 없어졌다. 류 총장은 ""일정이 밀리면서 올스타전 개최도 쉽지 않다. 주어진 날짜가 없기 때문에 올해는 특수한 상황으로 봐야할 것 같다""고 했다. KBO 내부에선 실행 여부를 떠나 시즌 중 올스타전 개최가 힘들다면 특수 상황을 고려해 개막 직전에 치르는 획기적인 아이디어도 나왔던 것으로 알려졌다.     도곡동=김진회 기자 manu35@sportschosun.com▶무료로 알아보는 나의 운명의 상대▶눈으로 보는 동영상 뉴스 핫템- Copyrightsⓒ 스포츠조선(http://sports.chosun.com/), 무단 전재 및 재배포 금지     기사제공 스포츠조선       "
